Seq,Stn,ZONE,UTM_N,UTM_E,MSL
0,GPS.0107-057,47,2149283.435,498101.901,422.179
1,GPS.0107-058,47,2149365.625,498077.864,418.005
2,GPS.0107-059,47,2150557.924,498486.145,431.246
3,GPS.0107-060,47,2150585.697,498546.127,434.689
4,GPS.0107-061,47,2151595.946,499314.096,414.447
5,GPS.0107-062,47,2151655.473,499338.907,417.101
6,GPS.0107-063,47,2154157.036,502123.513,524.017
7,GPS.0107-064,47,2154163.344,502201.918,524.647
8,GPS.0107-065,47,2156233.451,505187.335,541.078
9,GPS.0107-066,47,2156326.834,505267.849,542.073
10,GPS.0107-067,47,2159311.762,505774.851,560.885
11,GPS.0107-068,47,2159424.140,505769.279,561.159
12,GPS.0107-069,47,2163035.663,506676.289,602.643
13,GPS.0107-070,47,2163083.360,506698.627,602.219
14,GPS.0107-071,47,2164122.726,508540.975,552.469
15,GPS.0107-072,47,2164190.731,508694.545,552.783
16,GPS.0107-073,47,2165034.751,510327.174,623.911
17,GPS.0107-074,47,2165041.053,510403.448,627.597
18,GPS.0107-075,47,2166379.397,512246.564,736.217
19,GPS.0107-076,47,2166483.345,512257.443,729.660
20,GPS.0107-077,47,2168337.608,513274.776,636.391
21,GPS.0107-078,47,2168334.143,513333.206,634.625
22,GPS.0107-079,47,2172066.958,514214.276,547.482
23,GPS.0107-080,47,2172108.122,514257.753,545.599
